position X, position Y, position Z, orientation X, orientation Y, orientation Z, distance, angle X, angle Y, angle Z
11.0546, -42.512, 73.1133, 81.2862, 103.851, 16.4575, 35.6243, -2.44717, -24.466, -12.1227
15.2288, -45.1198, 71.2658, 79.7187, 106.994, 20.0269, 35.7083, -0.468729, -22.0073, -12.3684
19.3373, -48.3419, 68.6858, 77.7978, 110.921, 24.5156, 35.8337, 0.851405, -19.0582, -12.4706
23.4543, -51.9427, 65.3446, 75.4345, 115.391, 29.8086, 35.995, 1.46018, -15.8605, -12.2207
27.6128, -55.6751, 61.2374, 72.6005, 120.141, 35.7623, 36.193, 1.36699, -12.6547, -11.4537
31.7927, -59.2977, 56.3998, 69.3472, 124.883, 42.2148, 36.4287, 0.665465, -9.66086, -10.0705
35.9227, -62.596, 50.9165, 65.8102, 129.324, 48.994, 36.7002, -0.465804, -7.05556, -8.05066
39.8954, -65.4033, 44.9231, 62.196, 133.194, 55.9243, 37.0004, -1.78336, -4.9487, -5.45371
43.5915, -67.6128, 38.5985, 58.7561, 136.288, 62.8312, 37.3153, -3.01412, -3.36754, -2.40681
46.9082, -69.1784, 32.1503, 55.7481, 138.509, 69.5454, 37.6238, -3.89748, -2.25436, 0.914948
49.7825, -70.1031, 25.7964, 53.3881, 139.896, 75.9086, 37.8974, -4.225, -1.48031, 4.31174
52.2054, -70.4187, 19.7456, 51.8034, 140.604, 81.7782, 38.1013, -3.86957, -0.872334, 7.58171
54.2234, -70.1639, 14.1817, 51.0016, 140.845, 87.0335, 38.1982, -2.79715, -0.244142, 10.5422
55.9289, -69.3661, 9.25347, 50.8724, 140.828, 91.581, 38.1529, -1.05932, 0.577649, 13.0492
57.4446, -68.0303, 5.07281, 51.2215, 140.711, 95.357, 37.9391, 1.22923, 1.7394, 15.0128
58.9061, -66.1364, 1.71933, 51.8196, 140.589, 98.326, 37.547, 3.91938, 3.36069, 16.4052
60.4462, -63.6428, -0.748441, 52.4454, 140.503, 100.472, 36.9919, 6.85315, 5.5484, 17.2569
62.1834, -60.4941, -2.27806, 52.9133, 140.457, 101.783, 36.325, 9.87976, 8.42235, 17.6413
64.2126, -56.6298, -2.80616, 53.089, 140.442, 102.233, 35.6506, 12.8591, 12.1526, 17.6486
66.4717, -52.4282, -2.09445, 52.3014, 139.962, 101.52, 35.0894, 14.7244, 15.9034, 17.1086
68.7813, -48.2854, -0.0384779, 50.1066, 138.54, 99.4618, 34.5829, 14.7637, 18.6177, 15.8418
70.986, -44.1358, 3.2622, 46.8209, 136.161, 96.1566, 34.062, 13.4515, 20.1811, 13.9004
72.8794, -39.895, 7.70767, 42.8636, 132.813, 91.6951, 33.5046, 11.3208, 20.5045, 11.3538
74.2272, -35.4877, 13.1677, 38.7968, 128.537, 86.1901, 32.9208, 8.89808, 19.5724, 8.3208
74.7964, -30.8694, 19.4597, 35.3685, 123.438, 79.7929, 32.3383, 6.65253, 17.4624, 4.98068
74.3903, -26.0413, 26.3412, 33.4693, 117.674, 72.6991, 31.7916, 4.95782, 14.3345, 1.56792
72.8842, -21.0552, 33.5181, 33.8413, 111.433, 65.1502, 31.3168, 4.06218, 10.4032, -1.64701
70.2532, -16.0097, 40.6705, 36.6341, 104.921, 57.4331, 30.9496, 4.06934, 5.90443, -4.38912
66.586, -11.0382, 47.4898, 41.3392, 98.3467, 49.8818, 30.7247, 4.93816, 1.06907, -6.42021
62.079, -6.29279, 53.7193, 47.1844, 91.9157, 42.8798, 30.6736, 6.50542, -3.89163, -7.58287
57.0112, -1.92532, 59.1873, 53.4676, 85.8309, 36.8485, 30.8236, 8.52544, -8.79053, -7.83582
51.7076, 1.92769, 63.8258, 59.6463, 80.2903, 32.1906, 31.1938, 10.7144, -13.4596, -7.26819
46.4982, 5.15535, 67.669, 65.3191, 75.488, 29.1424, 31.7911, 12.7889, -17.7365, -6.08733
41.6835, 7.67402, 70.8334, 70.1908, 71.6155, 27.5774, 32.602, 14.4927, -21.4418, -4.58393
37.5132, 9.42008, 73.4841, 74.0495, 68.8654, 26.9586, 33.5828, 15.6128, -24.3472, -3.08433
34.1794, 10.3343, 75.793, 76.75, 67.4381, 26.5467, 34.6497, 15.9846, -26.1427, -1.89593
31.823, 10.3403, 77.8923, 78.1987, 67.5504, 25.6701, 35.68, 15.4942, -26.426, -1.24848
29.756, 9.53575, 79.863, 78.919, 69.0506, 23.9492, 36.3727, 14.2177, -25.1037, -0.992042
27.2741, 8.17313, 81.6934, 79.5489, 71.4624, 21.4713, 36.6304, 12.435, -22.6257, -0.865052
24.4734, 6.38473, 83.3126, 80.1782, 74.5327, 18.4561, 36.6137, 10.3671, -19.3709, -0.818015
21.4727, 4.31278, 84.6571, 80.8592, 78.0082, 15.1618, 36.4554, 8.20471, -15.6939, -0.791446
18.4184, 2.11204, 85.6867, 81.5991, 81.6349, 11.8984, 36.249, 6.09993, -11.9043, -0.733033
15.4824, -0.0534792, 86.3953, 82.3637, 85.1603, 9.05629, 36.0511, 4.17079, -8.27293, -0.613814
12.855, -2.01682, 86.8148, 83.0889, 88.3337, 7.11108, 35.8888, 2.51249, -5.04476, -0.437331
10.7358, -3.61387, 87.0103, 83.6964, 90.9067, 6.36904, 35.7699, 1.21099, -2.45235, -0.238972
9.32419, -4.68596, 87.0671, 84.108, 92.6326, 6.45716, 35.6934, 0.355123, -0.725222, -0.0759859
8.81278, -5.07791, 87.0706, 84.2571, 93.2635, 6.61082, 35.6637, 0.0449593, -0.0963723, -0.0101565
